cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,stability,seed_kzt_origin,seed_kzt_kept,lead_gid,lead_role
1,278,1,31237334.239999998,100000004299488100;100000008094734100;100000007055802100;100000002826669100;100000004962193100,"Гипотеза: веерная рассылка денег seed: 100000006866783100 отправил ≈3,9 млн ₸ 67 получателям; осело у 58 участников, у крупнейшего — 9%. Seed: 1; роли: сбор 25, веер 22, транзит 10, конечный получатель 38; устойчивость 0,91. Не доказательство общей деятельности.",0.906574000,3895690.560382524,3309374.913896041,100000004299488100,consolidator
2,270,1,10178044.000000000,100000003942602100;100000001697501100;100000001952325100;100000008737422100;100000004792397100,"Гипотеза: веерная рассылка денег seed: 100000002527114100 отправил ≈3,3 млн ₸ 111 получателям; осело у 111 участников, у крупнейшего — 2%. Seed: 1; роли: веер 3, транзит 3, конечный получатель 4; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,3289249.000000000,3289249.000000000,100000003942602100,transit
3,138,3,18838290.000000000,100000001072022100;100000003684369100;100000001527186100;100000008165763100;100000003131693100,"Гипотеза: веерная рассылка денег seed: 100000003684369100 отправил ≈8,6 млн ₸ 62 получателям; осело у 64 участников, у крупнейшего — 10%. Seed: 3; роли: координация 2, сбор 3, веер 7, транзит 3, конечный получатель 32; устойчивость 0,89. Не доказательство общей деятельности.",0.888712000,9351441.590516489,7558405.607579544,100000001072022100,consolidator
4,133,0,17433528.000000000,100000007908818100;100000004679953100;100000008603629100;100000000661912100;100000003366471100,"Гипотеза: сбор денег seed в 100000007908818100 (координация): 62% из ≈675 тыс. ₸, осевших в кластере. Seed: 0; роли: координация 1, сбор 2, веер 6, транзит 3, конечный получатель 30; устойчивость 0,80. Не доказательство общей деятельности.",0.802841000,0.000000000,674856.984735840,100000007908818100,coordinator
5,127,7,18414962.280000001,100000004019124100;100000001530983100;100000002939838100;100000001567366100;100000007777377100,"Гипотеза: веерная рассылка денег seed: 100000003016635100 отправил ≈9,4 млн ₸ 73 получателям; осело у 74 участников, у крупнейшего — 9%. Seed: 7; роли: координация 1, сбор 6, веер 10, транзит 5, конечный получатель 28; устойчивость 0,96. Не доказательство общей деятельности.",0.963080000,9555028.146978831,9159434.845830413,100000004019124100,consolidator
6,126,0,24907250.329999998,100000006889963100;100000006755850100;100000001330685100;100000008747113100;100000000331309100,"Гипотеза: сбор денег seed в 100000006889963100 (сбор): 42% из ≈873 тыс. ₸, осевших в кластере. Seed: 0; роли: сбор 7, веер 4, транзит 3, конечный получатель 41; устойчивость 0,98. Не доказательство общей деятельности.",0.984948000,0.000000000,873050.715619393,100000006889963100,consolidator
7,106,4,16242879.020000000,100000004015047100;100000002894076100;100000001411870100;100000001929088100;100000005778283100,"Гипотеза: веерная рассылка денег seed: 100000007747786100 отправил ≈4,2 млн ₸ 31 получателю; осело у 57 участников, у крупнейшего — 13%. Seed: 4; роли: сбор 7, веер 5, транзит 4, конечный получатель 19; устойчивость 0,75. Не доказательство общей деятельности.",0.746827000,6957767.835100797,6467104.497767362,100000004015047100,consolidator
8,106,0,6254194.670000000,100000005473151100;100000006707582100;100000000850297100;100000008335401100;100000001484381100,"Гипотеза: окружение крупного плательщика 100000008545727100: 91% выхода участников — не из наблюдаемой сети; денег seed ≈96 тыс. ₸. Seed: 0; роли: сбор 1, веер 5, транзит 2, конечный получатель 59; устойчивость 0,73. Не доказательство общей деятельности.",0.726804000,0.000000000,96100.000000000,100000005473151100,peripheral
9,104,1,21747439.590000000,100000006972210100;100000002838861100;100000002958286100;100000002615479100;100000001162560100,"Гипотеза: веерная рассылка денег seed: 100000005498992100 отправил ≈2,3 млн ₸ 16 получателям; осело у 17 участников, у крупнейшего — 21%. Seed: 1; роли: сбор 13, веер 8, транзит 1, конечный получатель 54; устойчивость 0,65. Не доказательство общей деятельности.",0.653666000,2262868.000000000,2374742.063317132,100000006972210100,consolidator
10,56,3,13397542.000000000,100000001732159100;100000003404627100;100000008637537100;100000008232832100;100000008314203100,"Гипотеза: сбор денег seed в 100000001732159100 (координация): 44% из ≈2,0 млн ₸, осевших в кластере. Seed: 3; роли: координация 2, сбор 3, веер 6, транзит 2, конечный получатель 15; устойчивость 0,50. Не доказательство общей деятельности.",0.497457000,1989010.000000000,2045010.000000001,100000001732159100,coordinator
11,53,1,2993313.000000000,100000003265158100;100000004692798100;100000002757797100;100000007242833100;100000002973903100,"Гипотеза: веерная рассылка денег seed: 100000008680731100 отправил ≈1,5 млн ₸ 27 получателям; осело у 28 участников, у крупнейшего — 14%. Seed: 1; роли: сбор 2, веер 2, транзит 3, конечный получатель 2; устойчивость 0,94. Не доказательство общей деятельности.",0.941063000,1464354.000000000,1394660.936231884,100000003265158100,transit
12,53,1,5947339.000000000,100000003115284100;100000002957306100;100000000343175100;100000002596035100;100000002618492100,"Гипотеза: веерная рассылка денег seed: 100000000343175100 отправил ≈4,0 млн ₸ 31 получателю; осело у 30 участников, у крупнейшего — 16%. Seed: 1; роли: координация 1, сбор 2, транзит 4, конечный получатель 11; устойчивость 0,82. Не доказательство общей деятельности.",0.816463000,3930991.129777717,3839121.285068591,100000003115284100,consolidator
13,52,5,4171441.000000000,100000005074393100;100000008346837100;100000005493505100;100000005882013100;100000004004621100,"Гипотеза: сбор денег seed в 100000005074393100 (координация): 35% из ≈300 тыс. ₸, осевших в кластере. Seed: 5; роли: координация 2, сбор 3, веер 1, транзит 1, конечный получатель 5; устойчивость 0,96. Не доказательство общей деятельности.",0.959628000,10000.000000000,300365.051343065,100000005074393100,coordinator
14,51,0,13990812.000000000,100000002670860100;100000002443664100;100000005242320100;100000001282143100;100000001584286100,"Гипотеза: сбор денег seed в 100000002670860100 (конечный получатель): 75% из ≈267 тыс. ₸, осевших в кластере. Seed: 0; роли: сбор 4, веер 4, конечный получатель 28; устойчивость 0,96. Не доказательство общей деятельности.",0.962955000,0.000000000,266996.486686872,100000002670860100,terminal
15,44,0,10215968.840000000,100000004905207100;100000001937767100;100000004159526100;100000002633108100;100000005933757100,"Гипотеза: сбор денег seed в 100000004159526100 (периферия): 51% из ≈162 тыс. ₸, осевших в кластере. Seed: 0; роли: сбор 1, веер 2, конечный получатель 4; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,161500.849220796,100000004905207100,terminal
16,41,1,4209955.280000000,100000004156082100;100000004820260100;100000002605184100;100000008188026100;100000000795129100,"Гипотеза: сбор денег seed в 100000002605184100 (конечный получатель): 33% из ≈104 тыс. ₸, осевших в кластере. Seed: 1; роли: координация 1, сбор 1, транзит 3, конечный получатель 7; устойчивость 0,86. Не доказательство общей деятельности.",0.861789000,0.000000000,103791.903066683,100000004156082100,coordinator
17,41,0,5151924.189999999,100000008221543100;100000006225798100;100000002570206100;100000003964910100;100000003060517100,"Гипотеза: окружение крупного плательщика 100000003242289100: 74% выхода участников — не из наблюдаемой сети; денег seed ≈20 тыс. ₸. Seed: 0; роли: веер 3, конечный получатель 6; устойчивость 0,98. Не доказательство общей деятельности.",0.982222000,0.000000000,20000.000000000,100000008221543100,terminal
18,30,0,8045494.000000000,100000007229557100;100000005527892100;100000008743913100;100000001141268100;100000001714173100,"Гипотеза: окружение крупного плательщика 100000008710843100: 84% выхода участников — не из наблюдаемой сети; денег seed ≈54 тыс. ₸. Seed: 0; роли: сбор 3, веер 4, конечный получатель 12; устойчивость 0,87. Не доказательство общей деятельности.",0.869444000,0.000000000,54053.895553606,100000007229557100,consolidator
19,30,1,6513430.000000000,100000001690558100;100000003854444100;100000008546855100;100000008582730100;100000006274203100,"Гипотеза: окружение крупного плательщика 100000007594394100: 89% выхода участников — не из наблюдаемой сети; денег seed ≈24 тыс. ₸. Seed: 1; роли: сбор 2, веер 1, транзит 2, конечный получатель 9; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,23833.145330450,100000001690558100,terminal
20,26,14,2289450.000000000,100000005382566100;100000008516839100;100000004403675100;100000005523088100;100000005668605100,"Гипотеза: сбор денег seed в 100000005523088100 (периферия): 52% из ≈1,4 млн ₸, осевших в кластере. Seed: 14; роли: координация 1, сбор 3, веер 1; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,1295616.000000000,1356309.000000000,100000005382566100,consolidator
21,20,0,617900.000000000,100000002448088100;100000003154105100;100000001427082100;100000000655469100;100000000723383100,"Гипотеза: окружение крупного плательщика 100000003154105100: 84% выхода участников — не из наблюдаемой сети; денег seed не видно. Seed: 0; роли: сбор 1, веер 2; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,3026.252046100,100000002448088100,consolidator
22,18,0,3422800.000000000,100000003701161100;100000003104347100;100000008137435100;100000002267998100;100000008238989100,"Гипотеза: сбор денег seed в 100000003701161100 (периферия): 71% из ≈252 тыс. ₸, осевших в кластере. Seed: 0; роли: веер 1, конечный получатель 5; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,0.000000000,252009.000000000,100000003701161100,peripheral
23,17,1,21586840.000000000,100000004399686100;100000003835149100;100000001965374100;100000005474472100;100000000552584100,"Гипотеза: сбор денег seed в 100000004399686100 (конечный получатель): 73% из ≈314 тыс. ₸, осевших в кластере. Seed: 1; роли: конечный получатель 7; устойчивость 1,00. Не доказательство общей деятельности.",1.000000000,297000.000000000,314000.000000000,100000004399686100,terminal
