gid,request,priority_score,role,seed_in_kzt,seed_kept_kzt,depth,is_seed
100000004015047100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.751981281,consolidator,598884.000000000,565693.023661222,1,False
100000003115284100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.722852657,consolidator,815000.000000000,625509.183910719,1,False
100000001732159100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.688701992,coordinator,2339817.338492309,902134.000000001,0,True
100000005382566100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.685067279,consolidator,335066.000000000,285066.000000000,0,True
100000007908818100,выход не покрыт входом: запросить входящие извне выборки,0.658079886,coordinator,437975.000000000,417038.300466683,1,False
100000006889963100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.648834923,consolidator,531000.000000000,366439.797484277,1,False
100000001072022100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.638143619,consolidator,740000.000000000,740000.000000000,1,False
100000003404627100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.637877995,consolidator,465000.000000000,465000.000000000,1,False
100000006972210100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.605423163,consolidator,488775.000000000,488775.000000000,1,False
100000002894076100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.593528607,consolidator,821782.000000000,821782.000000000,1,False
100000004019124100,seed без исходящих: запросить выписку,0.589133780,consolidator,158297.000000000,158297.000000000,0,True
100000002957306100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.576241237,terminal,398490.000000000,398490.000000000,1,False
100000001530983100,выход не покрыт входом: запросить входящие извне выборки,0.575999296,coordinator,392614.000000000,0.000000000,1,False
100000001411870100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.573952689,terminal,725581.395348837,725581.395348837,1,False
100000001527186100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.548043282,terminal,678000.000000000,678000.000000000,1,False
100000004135268100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.540274881,transit,1064000.000000000,564000.000000000,1,False
100000002939838100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.531008178,consolidator,178122.618806746,178122.618806746,1,False
100000002838861100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.520323131,consolidator,397500.000000000,397500.000000000,1,False
100000005074393100,выход не покрыт входом: запросить входящие извне выборки,0.519128261,coordinator,198490.429835312,104660.556467136,1,False
100000001567366100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.516499017,terminal,824070.000000000,824070.000000000,1,False
100000007777377100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.513035236,terminal,270508.812690870,267482.560644771,2,False
100000005183943100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.511797665,terminal,680900.000000000,680900.000000000,1,False
100000006518161100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.500661316,transit,534011.341099187,126370.997576469,1,False
100000001929088100,поздние поступления: запросить переводы за август,0.494326721,terminal,396010.000000000,396010.000000000,1,False
100000007939160100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.492899521,terminal,795000.000000000,795000.000000000,1,False
100000005778283100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.492224145,consolidator,346349.748372381,346349.748372381,1,False
100000003131693100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.490357560,terminal,353277.000000000,353277.000000000,1,False
100000008516839100,seed без исходящих: запросить выписку,0.488366955,consolidator,97000.000000000,97000.000000000,0,True
100000003946524100,выход не покрыт входом: запросить входящие извне выборки,0.487371824,transit,113757.000000000,113757.000000000,1,False
100000004186824100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.483020057,terminal,448838.752052545,441883.092844292,1,False
100000004299488100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.482219680,consolidator,365116.453928754,301614.700873600,1,False
100000002565277100,поздние поступления: запросить переводы за август,0.481543977,terminal,483319.000000000,483319.000000000,1,False
100000005432267100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.475828334,terminal,250000.000000000,250000.000000000,1,False
100000002173161100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.474633264,consolidator,869500.000000000,869500.000000000,1,False
100000002836736100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.470860911,terminal,233418.604651163,233418.604651163,1,False
100000000706545100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.465530568,consolidator,725025.723140496,673678.484222389,1,False
100000005660203100,поздние поступления: запросить переводы за август,0.461443251,terminal,384867.048052492,364799.906773433,2,False
100000008094734100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.460446874,consolidator,197000.000000000,197000.000000000,1,False
100000002596035100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.459785382,terminal,231570.000000000,231570.000000000,1,False
100000004156082100,выход не покрыт входом: запросить входящие извне выборки,0.457909654,coordinator,61154.430900066,0.000000000,1,False
100000006755850100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.456059135,terminal,164560.202515723,164560.202515723,2,False
100000002618492100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.451241666,terminal,178000.000000000,178000.000000000,1,False
100000007055802100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.449533529,consolidator,232441.943947178,204892.361946073,1,False
100000004559194100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.449417059,terminal,282145.000000000,282145.000000000,1,False
100000002720627100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.448922882,terminal,199300.000000000,199300.000000000,1,False
100000004226848100,поздние поступления: запросить переводы за август,0.447474033,terminal,301866.000000000,301866.000000000,1,False
100000007181706100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.445211608,terminal,163772.000000000,163772.000000000,1,False
100000005456919100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.444591944,terminal,263950.000000000,261200.234399417,1,False
100000002760175100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.444470459,terminal,187410.000000000,187410.000000000,1,False
100000005614315100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.441847641,terminal,454000.000000000,454000.000000000,2,False
100000001924185100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.439334490,terminal,151000.000000000,151000.000000000,1,False
100000008232832100,выход не покрыт входом: запросить входящие извне выборки,0.438109983,peripheral,337000.000000000,337000.000000000,1,False
100000003254723100,поздние поступления: запросить переводы за август,0.436251629,terminal,120694.000000000,120694.000000000,2,False
100000002621949100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.435081915,terminal,164612.000000000,164612.000000000,1,False
100000003299365100,выход не покрыт входом: запросить входящие извне выборки,0.435009999,transit,200000.000000000,200000.000000000,1,False
100000000041368100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.433024996,terminal,160000.000000000,160000.000000000,1,False
100000003042994100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.429421100,terminal,286086.000000000,286086.000000000,1,False
100000007544358100,выход не покрыт входом: запросить входящие извне выборки,0.427567802,transit,300000.000000000,150000.000000000,1,False
100000007507343100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.427038620,terminal,370000.000000000,370000.000000000,1,False
100000004790991100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.427029621,terminal,239413.000000000,239413.000000000,1,False
100000004664905100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.425565838,terminal,234620.000000000,234620.000000000,1,False
100000003205210100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.422088606,terminal,137563.000000000,137563.000000000,1,False
100000002864256100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.421144300,terminal,135780.000000000,135780.000000000,1,False
100000008556318100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.420641286,terminal,116632.000000000,116632.000000000,1,False
100000004692798100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.415769405,terminal,204920.985253834,190305.000000000,1,False
100000004105288100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.414491277,terminal,107131.618079330,107131.618079330,1,False
100000008346837100,выход не покрыт входом: запросить входящие извне выборки,0.412965948,coordinator,27846.184188002,0.000000000,2,False
100000005034574100,поздние поступления: запросить переводы за август,0.411670186,terminal,258816.000000000,258816.000000000,1,False
100000004948177100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.410965320,consolidator,341163.000000000,341163.000000000,1,False
100000001463701100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.408580279,terminal,248000.000000000,248000.000000000,1,False
100000003014659100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.406864671,terminal,280000.000000000,280000.000000000,1,False
100000008418835100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.406397351,peripheral,1372000.000000000,1185821.000000000,0,True
100000008751429100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.405609516,consolidator,328872.151628495,269467.934822523,1,False
100000008748408100,выход не покрыт входом: запросить входящие извне выборки,0.405475436,distributor,360000.000000000,0.000000000,1,False
100000002480800100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.403260925,terminal,230428.160862099,230428.160862099,1,False
100000004399686100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.402702135,terminal,228656.111252871,228656.111252871,3,False
100000002188829100,поздние поступления: запросить переводы за август,0.401181664,terminal,400000.000000000,400000.000000000,1,False
100000002958286100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.400660520,terminal,257000.000000000,257000.000000000,1,False
100000000810551100,"модельный остаток seed: проверить остаток, межбанк и наличные",0.399004999,terminal,100000.000000000,100000.000000000,1,False
