src,dst,sum_kzt,n_tx,seed_kzt,seed_share
100000000011452100,100000005140601100,16685.000000000,2,13926.129341054,0.834649646
100000000031787100,100000000267734100,60000.000000000,3,30000.000000000,0.500000000
100000000031787100,100000005082652100,30000.000000000,1,0.000000000,0.000000000
100000000076451100,100000002575080100,13000.000000000,1,0.000000000,0.000000000
100000000076451100,100000004629688100,5000.000000000,1,0.000000000,0.000000000
100000000076451100,100000004750897100,10000.000000000,1,0.000000000,0.000000000
100000000076451100,100000007131370100,30000.000000000,1,0.000000000,0.000000000
100000000089154100,100000000332284100,9000.000000000,1,0.000000000,0.000000000
100000000089154100,100000000437046100,32000.000000000,1,2746.781115880,0.085836910
100000000089154100,100000002398779100,20000.000000000,1,0.000000000,0.000000000
100000000089154100,100000003249054100,19900.000000000,2,-0.000000000,0.000000000
100000000089154100,100000003684369100,49500.000000000,1,4248.927038627,0.085836910
100000000089154100,100000003741418100,8000.000000000,1,686.695278970,0.085836910
100000000089154100,100000005059998100,18000.000000000,1,0.000000000,0.000000000
100000000089154100,100000005782781100,29700.000000000,2,0.000000000,0.000000000
100000000089154100,100000006595426100,84800.000000000,3,0.000000000,0.000000000
100000000089154100,100000006866783100,22000.000000000,1,0.000000000,0.000000000
100000000089154100,100000008106997100,20600.000000000,1,0.000000000,0.000000000
100000000089154100,100000008111003100,53700.000000000,3,2317.596566524,0.043158223
100000000089154100,100000008165763100,23300.000000000,1,0.000000000,0.000000000
100000000089154100,100000008571443100,25000.000000000,1,0.000000000,0.000000000
100000000089154100,100000008730846100,10000.000000000,1,0.000000000,0.000000000
100000000190228100,100000002613929100,28560.000000000,1,0.000000000,0.000000000
100000000201868100,100000006069103100,190000.000000000,1,0.000000000,0.000000000
100000000254336100,100000007042175100,60000.000000000,1,0.000000000,0.000000000
100000000267734100,100000000031787100,90000.000000000,2,45000.000000000,0.500000000
100000000267734100,100000001601320100,34000.000000000,1,1416.666666667,0.041666667
