gid,role,role_score,cluster_id,priority_score,evidence,secondary_role,patterns,data_gap,depth,is_seed,in_deg,in_kzt,in_tx,out_deg,out_kzt,out_tx,pass_through,truncated_by_depth,seed_in_deg,in_days,out_days,fast_kzt,fast_share,early_in_share,max_payers_day,sync_days,split_days,return_flows,stable_routes,seed_in_total_kzt,seed_in_kzt,seed_self_return_kzt,seed_out_kzt,seed_forwarded_kzt,seed_origin_kzt,seed_kept_kzt,seed_sources,same_day_cycle_in_kzt,seed_share_in,seed_forwarded_share,external_share,from_fan_share,similar_segment,similar_n,similar_p_terminal,money_score,sources_score,role_weight,role_part
100000000011452100,consolidator,0.385000000,1,0.300023698,"Гипотеза. Сбор: 3 плательщика, 7 переводов, 110 тыс. ₸ → 1 получатель; отдал 15%; денег seed ≈75 тыс. ₸ от 1 seed.",,return_flow,,1,False,3,110000.000000000,7,1,16685.000000000,2,0.151681818,False,1,7,2,16685.000000000,0.151681818,0.818181818,1,0,0,1,0,75060.627398615,75060.627398615,0.000000000,13926.129341054,13926.129341054,0.000000000,61134.498057561,1,0.000000000,0.682369340,0.185531747,0.000000000,0.863636364,"3+ дней, от «веера»",142,0.422535211,0.392147395,0.000000000,0.900000000,0.346500000
100000000018102100,peripheral,0.200000000,1,0.000000000,"4-е колено, выход не виден. Из 376 похожих узлов выход ≤10% у 64% — мало для вывода. Получил 7 тыс. ₸.",,boundary,граница обхода: запросить исходящие переводы,4,False,1,7000.000000000,1,0,0.000000000,0,,True,0,1,0,0.000000000,0.000000000,1.000000000,1,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,,0.000000000,"1 день, не от «веера»",376,0.643617021,0.000000000,0.000000000,0.000000000,0.000000000
100000000031787100,transit,0.661111000,7,0.297873728,"Гипотеза. Транзит: получил 90 тыс. ₸, отдал 100%; за 0–2 дня ушло 44%; денег seed ≈45 тыс. ₸ от 1 seed.",,return_flow,,2,False,1,90000.000000000,2,2,90000.000000000,4,1.000000000,False,0,2,4,40000.000000000,0.444444444,1.000000000,1,0,0,1,0,45000.000000000,45000.000000000,0.000000000,30000.000000000,30000.000000000,0.000000000,15000.000000000,1,0.000000000,0.500000000,0.666666667,0.333333333,0.000000000,"2 дня, не от «веера»",89,0.449438202,0.318080836,0.000000000,0.700000000,0.462777700
100000000041368100,terminal,0.550000000,3,0.433024996,"Гипотеза. Конечный получатель: получил 160 тыс. ₸ от 1 плательщика, отдал 0%; до 24.07 пришло 100%; денег seed ≈160 тыс. ₸ от 2 seed.",,,"модельный остаток seed: проверить остаток, межбанк и наличные",1,False,1,160000.000000000,1,0,0.000000000,0,0.000000000,False,1,1,0,0.000000000,0.000000000,1.000000000,1,0,0,0,0,160000.000000000,160000.000000000,0.000000000,0.000000000,0.000000000,0.000000000,160000.000000000,2,0.000000000,1.000000000,0.000000000,,1.000000000,"1 день, от «веера»",839,0.806912992,0.501716659,0.333333333,0.700000000,0.385000000
100000000076451100,peripheral,0.500000000,16,0.000000000,"Гипотеза. Периферия: получил 88 тыс. ₸ (4 перевода), отдал 58 тыс. ₸ (66%) 4 получателям; признаков ролей не выявлено.",,return_flow;late_inflow,,2,False,3,87707.000000000,4,4,58000.000000000,4,0.661292713,False,0,3,3,5000.000000000,0.057007993,0.513071933,2,0,0,2,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.396551724,0.486928067,"3+ дней, не от «веера»",140,0.321428571,0.000000000,0.000000000,0.000000000,0.000000000
100000000089154100,distributor,0.397556000,1,0.121731746,"Гипотеза. Веер: 15 получателей, 21 перевод, 426 тыс. ₸; из сети получил 10 тыс. ₸; 98% выхода — не из наблюдаемой сети; денег seed ≈10 тыс. ₸ от 1 seed.",,external_funding;fast_transit;return_flow,выход не покрыт входом: запросить входящие извне выборки,1,False,1,10000.000000000,1,15,425500.000000000,21,42.550000000,False,1,1,10,10000.000000000,1.000000000,1.000000000,1,0,0,1,0,10000.000000000,10000.000000000,0.000000000,10000.000000000,10000.000000000,0.000000000,0.000000000,1,0.000000000,1.000000000,1.000000000,0.976498237,1.000000000,"1 день, от «веера»",839,0.806912992,0.100343332,0.000000000,0.600000000,0.238533600
100000000190228100,peripheral,0.500000000,9,0.000000000,"Гипотеза. Периферия: получил 5 тыс. ₸ (1 перевод), отдал 29 тыс. ₸ (571%) 1 получателю; признаков ролей не выявлено.",,late_inflow,,2,False,1,5000.000000000,1,1,28560.000000000,1,5.712000000,False,0,1,1,0.000000000,0.000000000,0.000000000,1,0,0,0,0,2382.801867633,2382.801867633,0.000000000,0.000000000,0.000000000,0.000000000,2382.801867633,0,0.000000000,0.476560374,0.000000000,1.000000000,0.000000000,"1 день, не от «веера»",376,0.643617021,0.000000000,0.000000000,0.000000000,0.000000000
100000000201868100,transit,0.800000000,54,0.168000000,"Гипотеза. Транзит: получил 190 тыс. ₸, отдал 100%; за 0–2 дня ушло 100%; денег seed не видно.",,fast_transit;return_flow,,2,False,1,190000.000000000,1,1,190000.000000000,1,1.000000000,False,0,1,1,190000.000000000,1.000000000,1.000000000,1,0,0,1,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,"1 день, не от «веера»",376,0.643617021,0.000000000,0.000000000,0.700000000,0.560000000
100000000254336100,peripheral,0.500000000,1,0.000000000,"Гипотеза. Периферия: получил 97 тыс. ₸ (2 перевода), отдал 60 тыс. ₸ (62%) 1 получателю; признаков ролей не выявлено.",,fast_transit,,3,False,2,97177.000000000,2,1,60000.000000000,1,0.617430050,False,0,2,1,60000.000000000,0.617430050,1.000000000,1,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.000000000,1.000000000,"2 дня, от «веера»",137,0.576642336,0.000000000,0.000000000,0.000000000,0.000000000
100000000267734100,distributor,0.327111000,7,0.305066856,"Гипотеза. Веер: 7 получателей, 8 переводов, 282 тыс. ₸; из сети получил 180 тыс. ₸; денег seed ≈150 тыс. ₸ от 1 seed.",,return_flow;late_inflow,,1,False,2,180000.000000000,4,7,282000.000000000,8,1.566666667,False,1,4,5,40000.000000000,0.222222222,0.666666667,1,0,0,1,0,150000.000000000,150000.000000000,0.000000000,140000.000000000,140000.000000000,0.000000000,10000.000000000,1,0.000000000,0.833333333,0.933333333,0.432624113,0.666666667,"3+ дней, от «веера»",142,0.422535211,0.492373752,0.000000000,0.600000000,0.196266600
100000000274067100,peripheral,0.500000000,7,0.280775649,"Гипотеза. Периферия: получил 518 тыс. ₸ (9 переводов), отдал 3,0 млн ₸ (573%) 3 получателям; денег seed ≈242 тыс. ₸ от 1 seed; признаков ролей не выявлено.",,external_funding;return_flow;stable_route;late_inflow,выход не покрыт входом: запросить входящие извне выборки,1,False,2,517704.000000000,9,3,2969000.000000000,9,5.734937339,False,1,7,8,222704.000000000,0.430176317,0.787523372,1,0,0,1,1,241893.333333333,241893.333333333,0.000000000,218107.155555556,218107.155555556,0.000000000,23786.177777778,1,0.000000000,0.467242543,0.901666667,0.924990232,0.420518288,"3+ дней, не от «веера»",140,0.321428571,0.561551298,0.000000000,0.000000000,0.000000000
100000000287768100,peripheral,0.500000000,1,0.000000000,"Гипотеза. Периферия: получил 35 тыс. ₸ (1 перевод), отдал 0 ₸ (0%) 0 получателям; признаков ролей не выявлено.",,late_inflow,,3,False,1,35168.000000000,1,0,0.000000000,0,0.000000000,False,0,1,0,0.000000000,0.000000000,0.000000000,1,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,,1.000000000,"1 день, от «веера»",839,0.806912992,0.000000000,0.000000000,0.000000000,0.000000000
100000000288317100,peripheral,0.500000000,1,0.000000000,"Гипотеза. Периферия: получил 100 тыс. ₸ (2 перевода), отдал 54 тыс. ₸ (54%) 3 получателям; признаков ролей не выявлено.",,late_inflow,,3,False,2,100000.000000000,2,3,53500.000000000,3,0.535000000,False,0,2,3,16500.000000000,0.165000000,0.500000000,1,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,0.130841121,0.500000000,"2 дня, от «веера»",137,0.576642336,0.000000000,0.000000000,0.000000000,0.000000000
100000000291906100,transit,0.671035000,48,0.174937347,"Гипотеза. Транзит: получил 388 тыс. ₸, отдал 117%; за 0–2 дня ушло 43%; денег seed ≈8 тыс. ₸ от 1 seed.",,external_funding;return_flow,выход не покрыт входом: запросить входящие извне выборки,2,False,2,388000.000000000,3,2,455854.000000000,6,1.174881443,False,0,2,6,168354.000000000,0.433902062,1.000000000,1,0,0,1,0,8000.000000000,8000.000000000,0.000000000,1969.072164948,1969.072164948,0.000000000,6030.927835052,1,380000.000000000,0.020618557,0.246134021,0.790503100,0.000000000,"2 дня, не от «веера»",89,0.449438202,0.068039994,0.000000000,0.700000000,0.469724500
100000000291908100,terminal,0.729695000,48,0.153235950,"Гипотеза. Конечный получатель: получил 296 тыс. ₸ от 1 плательщика, отдал 5%; до 24.07 пришло 86%; денег seed не видно.",,,,3,False,1,295500.000000000,5,1,13300.000000000,1,0.045008460,False,0,5,1,0.000000000,0.000000000,0.864636210,1,0,0,0,0,1969.072164948,1969.072164948,0.000000000,0.000000000,0.000000000,0.000000000,1969.072164948,0,0.000000000,0.006663527,0.000000000,0.000000000,0.000000000,"3+ дней, не от «веера»",140,0.321428571,0.000000000,0.000000000,0.700000000,0.510786500
100000000297649100,peripheral,0.500000000,11,0.000000000,"Гипотеза. Периферия: получил 40 тыс. ₸ (1 перевод), отдал 71 тыс. ₸ (176%) 1 получателю; признаков ролей не выявлено.",,return_flow,,2,False,1,40000.000000000,1,1,70600.000000000,2,1.765000000,False,0,1,2,0.000000000,0.000000000,1.000000000,1,0,0,1,0,3354.208020365,3354.208020365,0.000000000,3354.208020365,3354.208020365,0.000000000,0.000000000,0,0.000000000,0.083855201,1.000000000,0.433427762,0.000000000,"1 день, не от «веера»",376,0.643617021,0.000000000,0.000000000,0.000000000,0.000000000
100000000299820100,peripheral,0.200000000,4,0.000000000,"4-е колено, выход не виден. Из 376 похожих узлов выход ≤10% у 64% — мало для вывода. Получил 10 тыс. ₸.",,boundary,граница обхода: запросить исходящие переводы,4,False,1,10000.000000000,1,0,0.000000000,0,,True,0,1,0,0.000000000,0.000000000,1.000000000,1,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,,0.000000000,"1 день, не от «веера»",376,0.643617021,0.000000000,0.000000000,0.000000000,0.000000000
100000000307908100,peripheral,0.500000000,41,0.000000000,"Гипотеза. Периферия: получил 5 тыс. ₸ (1 перевод), отдал 0 ₸ (0%) 0 получателям; признаков ролей не выявлено.",,,,2,False,1,5000.000000000,1,0,0.000000000,0,0.000000000,False,0,1,0,0.000000000,0.000000000,1.000000000,1,0,0,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0.000000000,0.000000000,,0.000000000,"1 день, не от «веера»",376,0.643617021,0.000000000,0.000000000,0.000000000,0.000000000
100000000331309100,distributor,0.750000000,6,0.297475394,"Гипотеза. Веер: 99 получателей, 126 переводов, 23,0 млн ₸; из сети получил 1,0 млн ₸; 96% выхода — не из наблюдаемой сети; денег seed ≈47 тыс. ₸ от 1 seed.",,external_funding;fast_transit;sync_inflow;stable_route,выход не покрыт входом: запросить входящие извне выборки,2,False,5,984635.000000000,8,99,23001375.000000000,126,23.360306103,False,0,4,29,984635.000000000,1.000000000,1.000000000,3,1,0,0,6,47187.000000000,47187.000000000,0.000000000,47187.000000000,47187.000000000,0.000000000,0.000000000,1,0.000000000,0.047923342,1.000000000,0.957192342,0.807608911,"3+ дней, от «веера»",142,0.422535211,0.324950788,0.000000000,0.600000000,0.450000000
100000000332284100,consolidator,0.710000000,6,0.204896874,"Гипотеза. Сбор: 10 плательщиков, 12 переводов, 107 тыс. ₸ → 3 получателя; отдал 269%; денег seed ≈6 тыс. ₸ от 1 seed.",,external_funding;sync_inflow;late_inflow,выход не покрыт входом: запросить входящие извне выборки,2,False,10,107426.000000000,12,3,289500.000000000,3,2.694878335,False,0,9,2,22000.000000000,0.204792136,0.411446019,3,1,0,0,0,6000.000000000,6000.000000000,0.000000000,6000.000000000,6000.000000000,0.000000000,0.000000000,1,0.000000000,0.055852401,1.000000000,0.903281520,0.426339992,"3+ дней, не от «веера»",140,0.321428571,0.026393749,0.000000000,0.900000000,0.639000000
100000000343175100,coordinator,0.730000000,12,0.475696714,Гипотеза. Координация: деньги 2 других seed (≈69 тыс. ₸); 8 плательщиков → 31 получатель; дальше ушло 100% денег seed. Seed: вход неполон.,distributor,seed;fast_transit;stable_route,,0,True,8,178712.000000000,14,31,4000039.000000000,33,,False,1,11,12,173212.000000000,0.969224227,1.000000000,2,0,0,0,3,69047.870222283,69047.870222283,0.000000000,4000039.000000000,69047.870222283,3930991.129777717,0.000000000,2,0.000000000,0.386363928,1.000000000,,0.055955951,"3+ дней, не от «веера»",140,0.321428571,0.380060094,0.333333333,1.000000000,0.730000000
