scenario,removed_top_n,removed_gids,largest_component,n_components,seed_kzt_to_others_share,seed_kzt_held_share,seed_kzt_held_before_share,seed_kzt_at_seeds_share,seed_kzt_origin_ratio,seed_kzt_origin_before,seed_kzt_origin_after
top,0,,1877,35,0.914441537,0.000000000,0.000000000,0.085558463,1.000000000,52046550.628921770,52046550.628921770
top,5,100000004015047100;100000003115284100;100000001732159100;100000005382566100;100000007908818100,1857,43,0.864089151,0.087710424,0.053710390,0.057173961,1.008973535,52046550.628921770,52513592.193820968
top,10,100000004015047100;100000003115284100;100000001732159100;100000005382566100;100000007908818100;100000006889963100;100000001072022100;100000003404627100;100000006972210100;100000002894076100,1850,45,0.814488227,0.137311348,0.109083834,0.057173961,1.008973535,52046550.628921770,52513592.193820968
top,20,100000004015047100;100000003115284100;100000001732159100;100000005382566100;100000007908818100;100000006889963100;100000001072022100;100000003404627100;100000006972210100;100000002894076100;100000003684369100;100000004019124100;100000002957306100;100000001530983100;100000001411870100;100000001527186100;100000008165763100;100000004135268100;100000002939838100;100000008637537100,1756,105,0.629709098,0.127057579,0.163968337,0.052910432,0.809677108,52046550.628921770,42140900.603304483
top,30,100000004015047100;100000003115284100;100000001732159100;100000005382566100;100000007908818100;100000006889963100;100000001072022100;100000003404627100;100000006972210100;100000002894076100;100000003684369100;100000004019124100;100000002957306100;100000001530983100;100000001411870100;100000001527186100;100000008165763100;100000004135268100;100000002939838100;100000008637537100;100000002838861100;100000005074393100;100000001567366100;100000007777377100;100000005183943100;100000006518161100;100000001929088100;100000007939160100;100000008723830100;100000005778283100,1734,115,0.544752858,0.212013818,0.239637979,0.052910432,0.809677108,52046550.628921770,42140900.603304483
top_new,0,,1877,35,0.914441537,0.000000000,0.000000000,0.085558463,1.000000000,52046550.628921770,52046550.628921770
top_new,5,100000004015047100;100000003115284100;100000007908818100;100000006889963100;100000001072022100,1859,42,0.855077987,0.060001267,0.052158698,0.085534649,1.000613904,52046550.628921770,52078502.193820968
top_new,10,100000004015047100;100000003115284100;100000007908818100;100000006889963100;100000001072022100;100000003404627100;100000006972210100;100000002894076100;100000002957306100;100000001530983100,1846,50,0.805763268,0.109315986,0.093929900,0.085534649,1.000613904,52046550.628921770,52078502.193820968
top_new,20,100000004015047100;100000003115284100;100000007908818100;100000006889963100;100000001072022100;100000003404627100;100000006972210100;100000002894076100;100000002957306100;100000001530983100;100000001411870100;100000001527186100;100000008165763100;100000004135268100;100000002939838100;100000002838861100;100000005074393100;100000001567366100;100000007777377100;100000005183943100,1819,66,0.713635346,0.201443908,0.180505670,0.085534649,1.000613904,52046550.628921770,52078502.193820968
top_new,30,100000004015047100;100000003115284100;100000007908818100;100000006889963100;100000001072022100;100000003404627100;100000006972210100;100000002894076100;100000002957306100;100000001530983100;100000001411870100;100000001527186100;100000008165763100;100000004135268100;100000002939838100;100000002838861100;100000005074393100;100000001567366100;100000007777377100;100000005183943100;100000006518161100;100000001929088100;100000007939160100;100000008723830100;100000005778283100;100000003131693100;100000003946524100;100000004186824100;100000004299488100;100000002565277100,1800,73,0.631439529,0.283639725,0.245016795,0.085534649,1.000613904,52046550.628921770,52078502.193820968
